Time,T_Outdoor_Temperature_C,m_dot_water
6/2/2023 18:55,25.26666667,0
6/2/2023 19:00,24.5625,0
6/2/2023 19:05,23.54583333,0
6/2/2023 19:10,22.9625,0
6/2/2023 19:15,23.15416667,0
6/2/2023 19:20,22.91666667,0
6/2/2023 19:25,22.11666667,0
6/2/2023 19:30,21.72916667,0
6/2/2023 19:35,21.4375,0
6/2/2023 19:40,21.03333333,0
6/2/2023 19:45,20.63333333,0
6/2/2023 19:50,20.5,0
6/2/2023 19:55,20.45,0
6/2/2023 20:00,20.18333333,0
6/2/2023 20:05,20.1125,0
6/2/2023 20:10,19.92083333,0
6/2/2023 20:15,19.67916667,0.021030476
6/2/2023 20:20,19.425,0.04551443
6/2/2023 20:25,19.28333333,0.014680398
6/2/2023 20:30,19.02916667,0
6/2/2023 20:35,19.18333333,6.65E-05
6/2/2023 20:40,19.74583333,0
6/2/2023 20:45,20.13333333,0.132090339
6/2/2023 20:50,19.5625,0.132067482
6/2/2023 20:55,18.98333333,0
6/2/2023 21:00,18.79583333,0
6/2/2023 21:05,18.67083333,0
6/2/2023 21:10,18.24166667,0
6/2/2023 21:15,18.0125,0
6/2/2023 21:20,18,0
6/2/2023 21:25,18,0
6/2/2023 21:30,17.91666667,0.07361186
6/2/2023 21:35,17.6875,8.73E-05
6/2/2023 21:40,17.54166667,0
6/2/2023 21:45,17.40833333,0
6/2/2023 21:50,17.4125,0
6/2/2023 21:55,17.425,0
6/2/2023 22:00,17.13333333,0.00013922
6/2/2023 22:05,17,0
6/2/2023 22:10,17,0.00270751
6/2/2023 22:15,16.93333333,0
6/2/2023 22:20,16.8125,0
6/2/2023 22:25,16.875,0
6/2/2023 22:30,17.0125,0
6/2/2023 22:35,17.13333333,0
6/2/2023 22:40,17.11666667,0
6/2/2023 22:45,16.81666667,0
6/2/2023 22:50,16.75,0
6/2/2023 22:55,16.65,0
6/2/2023 23:00,16.62083333,9.77E-05
6/2/2023 23:05,16.34166667,0.001275834
6/2/2023 23:10,16.05416667,0
6/2/2023 23:15,16.025,0
6/2/2023 23:20,16.23333333,0
6/2/2023 23:25,16.15416667,0
6/2/2023 23:30,16.125,0
6/2/2023 23:35,16.07916667,0
6/2/2023 23:40,15.94798148,0
6/2/2023 23:45,15.75192593,0
6/2/2023 23:50,15.72279629,0
6/2/2023 23:55,15.72279629,0
6/3/2023 0:00,15.72279629,0
